Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetName
Sergey Fedosienko,M,SBD,Raw,31.5,24-34,24-39,Open,58.2,59,200.0,215.0,225.5,,225.5,150.0,160.0,165.0,,165.0,230.0,255.0,270.5,,270.5,661.0,1,579.9,579.9,567.26,870.42,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Dariusz Wszoła,M,SBD,Raw,35.5,35-39,24-39,Open,58.3,59,200.0,210.0,215.0,,215.0,142.5,150.0,152.5,,152.5,197.5,205.0,-210.0,,205.0,572.5,2,501.45,501.45,490.47,741.4,Yes,Poland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Franklin León,M,SBD,Raw,30.5,24-34,24-39,Open,58.45,59,180.0,192.5,200.0,,200.0,130.0,140.0,-145.0,,140.0,210.0,220.0,-235.0,,220.0,560.0,3,489.31,489.31,478.53,721.77,Yes,Ecuador,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Takaharu Ebihara,M,SBD,Raw,33.5,24-34,24-39,Open,58.7,59,165.0,180.0,185.0,,185.0,130.0,140.0,-142.5,,140.0,200.0,210.0,215.0,,215.0,540.0,4,469.96,469.96,459.49,690.42,Yes,Japan,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Mohamed Lakehal,M,SBD,Raw,31.0,24-34,24-39,Open,58.5,59,195.0,210.0,-215.0,,210.0,105.0,110.0,-112.5,,110.0,200.0,215.0,-220.0,,215.0,535.0,5,467.1,467.1,456.78,685.25,Yes,Algeria,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Walter Gómez,M,SBD,Raw,24.5,24-34,24-39,Open,57.95,59,155.0,162.5,167.5,,167.5,112.5,120.0,125.0,,125.0,195.0,205.0,-210.0,,205.0,497.5,6,438.23,438.23,428.79,636.47,Yes,Ecuador,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Eric Kupperstein,M,SBD,Raw,48.0,45-49,40-49,Open,58.55,59,-172.5,-172.5,172.5,,172.5,70.0,75.0,-80.0,,75.0,225.0,235.0,-252.5,,235.0,482.5,7,420.92,461.75,411.61,609.2,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Stuart Jamieson,M,SBD,Raw,24.5,24-34,24-39,Open,57.75,59,140.0,155.0,-162.5,,155.0,75.0,80.0,-85.0,,80.0,215.0,225.0,-235.0,,225.0,460.0,8,406.53,406.53,397.85,583.86,Yes,UK,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Mikhail Andryukhin,M,SBD,Raw,43.5,40-44,40-49,Open,65.9,66,230.0,240.0,-242.5,,240.0,132.5,137.5,-140.0,,137.5,252.5,265.0,-270.0,,265.0,642.5,1,505.12,520.78,490.86,762.76,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Tsung-Ting Hsieh,M,SBD,Raw,31.5,24-34,24-39,Open,63.4,66,200.0,210.0,-215.0,,210.0,155.0,160.0,165.0,,165.0,250.0,260.0,265.0,,265.0,640.0,2,519.81,519.81,506.1,783.0,Yes,Taiwan,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Antti Savolainen,M,SBD,Raw,35.5,35-39,24-39,Open,65.5,66,200.0,207.5,210.0,,210.0,150.0,155.0,-157.5,,155.0,255.0,265.0,-277.5,,265.0,630.0,3,497.79,497.79,483.88,749.84,Yes,Finland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Sergey Skochek,M,SBD,Raw,30.5,24-34,24-39,Open,65.75,66,195.0,205.0,210.0,,210.0,157.5,167.5,-172.5,,167.5,230.0,-250.0,-255.0,,230.0,607.5,4,478.5,478.5,465.05,717.87,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Shawn Frasquillo,M,SBD,Raw,28.0,24-34,24-39,Open,65.05,66,182.5,192.5,197.5,,197.5,140.0,150.0,155.0,,155.0,227.5,240.0,-250.0,,240.0,592.5,5,470.85,470.85,457.85,703.98,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Alex Ochoa,M,SBD,Raw,23.5,24-34,24-39,Open,65.45,66,190.0,202.5,210.0,,210.0,125.0,132.5,-137.5,,132.5,230.0,240.0,-252.5,,240.0,582.5,6,460.55,460.55,447.7,687.31,Yes,Ecuador,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Christopher Simmons,M,SBD,Raw,27.5,24-34,24-39,Open,64.55,66,-187.5,-187.5,187.5,,187.5,125.0,-140.0,140.0,,140.0,215.0,230.0,-235.0,,230.0,557.5,7,445.92,445.92,433.77,661.45,Yes,UK,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Jacobus Phalatsi,M,SBD,Raw,32.5,24-34,24-39,Open,64.2,66,170.0,185.0,-195.0,,185.0,120.0,130.0,-137.5,,130.0,200.0,210.0,220.0,,220.0,535.0,8,429.89,429.89,418.29,634.1,Yes,South Africa,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Nghiep Luu,M,SBD,Raw,38.5,35-39,24-39,Open,65.9,66,170.0,180.0,-187.5,,180.0,92.5,97.5,100.0,,100.0,255.0,-273.5,-273.5,,255.0,535.0,9,420.6,420.6,408.73,620.93,Yes,Australia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Carlos Fredericks Remi,M,SBD,Raw,28.5,24-34,24-39,Open,63.3,66,152.5,160.0,167.5,,167.5,100.0,-107.5,-107.5,,100.0,-232.5,235.0,-240.0,,235.0,502.5,10,408.68,408.68,397.94,597.3,Yes,South Africa,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Aliaksandr Hrynkevich-Sudnik,M,SBD,Raw,37.5,35-39,24-39,Open,73.55,74,227.5,235.0,-240.0,,235.0,155.0,162.5,165.0,,165.0,282.5,287.5,-292.5,,287.5,687.5,1,496.68,496.68,480.31,757.28,Yes,Belarus,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Hassan El Belghiti,M,SBD,Raw,39.0,35-39,24-39,Open,72.55,74,205.0,217.5,222.5,,222.5,135.0,142.5,145.0,,145.0,285.0,296.5,310.0,,310.0,677.5,2,494.32,494.32,478.31,752.49,Yes,France,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Harry Shimalistos,M,SBD,Raw,28.5,24-34,24-39,Open,72.2,74,200.0,212.5,220.0,,220.0,140.0,150.0,-152.5,,150.0,270.0,290.0,305.0,,305.0,675.0,3,494.24,494.24,478.33,752.06,Yes,South Africa,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Kojo Gyennin,M,SBD,Raw,34.5,24-34,24-39,Open,73.1,74,227.5,237.5,242.5,,242.5,135.0,140.0,142.5,,142.5,275.0,290.0,-303.5,,290.0,675.0,4,489.81,489.81,473.79,745.29,Yes,Canada,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Per Berglund,M,SBD,Raw,46.5,45-49,40-49,Open,73.5,74,215.0,230.0,235.0,,235.0,167.5,-175.0,175.0,,175.0,250.0,260.0,265.0,,265.0,675.0,5,487.89,521.07,471.82,742.33,Yes,Sweden,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Paul Cooper,M,SBD,Raw,38.5,35-39,24-39,Open,73.15,74,200.0,210.0,,,210.0,155.0,162.5,-167.5,,162.5,265.0,277.5,285.0,,285.0,657.5,6,476.87,476.87,461.27,723.4,Yes,England,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Kader Baali,M,SBD,Raw,46.0,45-49,40-49,Open,73.9,74,225.0,-232.5,-237.5,,225.0,147.5,152.5,155.0,,155.0,265.0,277.5,-282.5,,277.5,657.5,7,473.4,505.59,457.71,718.05,Yes,France,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Ming-Hui Lin,M,SBD,Raw,31.0,24-34,24-39,Open,72.5,74,232.5,242.5,-250.0,,242.5,135.0,142.5,150.0,,150.0,245.0,,,,245.0,637.5,8,465.37,465.37,450.31,703.41,Yes,Taiwan,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Miguel Curipoma,M,SBD,Raw,26.5,24-34,24-39,Open,73.15,74,210.0,220.0,225.0,,225.0,135.0,140.0,-145.0,,140.0,240.0,250.0,260.0,,260.0,625.0,9,453.3,453.3,438.47,683.45,Yes,Ecuador,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Jordan Berke,M,SBD,Raw,24.5,24-34,24-39,Open,72.85,74,197.5,210.0,217.5,,217.5,150.0,160.0,-165.0,,160.0,232.5,245.0,-250.0,,245.0,622.5,10,452.83,452.83,438.09,682.44,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Gayrat Ismoilov,M,SBD,Raw,26.5,24-34,24-39,Open,73.3,74,210.0,-217.5,-217.5,,210.0,150.0,157.5,-160.0,,157.5,252.5,-270.0,-270.0,,252.5,620.0,11,449.01,449.01,434.28,676.28,Yes,Uzbekistan,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Helmke Lucas,M,SBD,Raw,24.5,24-34,24-39,Open,73.8,74,205.0,215.0,-220.0,,215.0,160.0,165.0,-170.0,,165.0,240.0,-250.0,-250.0,,240.0,620.0,12,446.83,446.83,432.05,672.92,Yes,Australia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Yue Sun,M,SBD,Raw,24.5,24-34,24-39,Open,73.55,74,187.5,197.5,205.0,,205.0,130.0,135.0,137.5,,137.5,215.0,222.5,240.0,,240.0,582.5,13,420.83,420.83,406.96,628.66,Yes,Australia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Steven Tyers,M,SBD,Raw,24.5,24-34,24-39,Open,72.8,74,185.0,195.0,-200.0,,195.0,125.0,-130.0,130.0,,130.0,215.0,225.0,235.0,,235.0,560.0,14,407.57,407.57,394.31,605.71,Yes,UK,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
José Castillo,M,SBD,Raw,27.5,24-34,24-39,Open,82.4,83,260.0,272.5,-282.5,,272.5,165.0,175.0,182.5,,182.5,300.0,315.0,-325.0,,315.0,770.0,1,516.2,516.2,496.72,793.37,Yes,Ecuador,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Alexey Kuzmin,M,SBD,Raw,31.5,24-34,24-39,Open,82.3,83,267.5,-275.0,-275.0,,267.5,177.5,182.5,-187.5,,182.5,290.0,305.0,-320.0,,305.0,755.0,2,506.52,506.52,487.42,776.9,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Derek Gove,M,SBD,Raw,26.0,24-34,24-39,Open,82.55,83,237.5,247.5,257.5,,257.5,142.5,152.5,-157.5,,152.5,272.5,285.0,290.0,,290.0,700.0,3,468.76,468.76,451.03,712.66,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Mika Parviainen,M,SBD,Raw,34.5,24-34,24-39,Open,82.35,83,225.0,237.5,242.5,,242.5,155.0,160.0,165.0,,165.0,275.0,287.5,290.0,,290.0,697.5,4,467.77,467.77,450.12,710.98,Yes,Finland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Connor Lutz,M,SBD,Raw,23.5,24-34,24-39,Open,81.4,83,225.0,242.5,-250.0,,242.5,185.0,-193.5,193.5,,193.5,245.0,260.0,-275.0,,260.0,696.0,5,470.06,470.06,452.57,714.9,Yes,Canada,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Łukasz Matwin,M,SBD,Raw,30.5,24-34,24-39,Open,82.4,83,200.0,212.5,217.5,,217.5,145.0,152.5,-155.0,,152.5,280.0,302.5,315.5,,315.5,685.5,6,459.55,459.55,442.21,697.0,Yes,Poland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Colin Webb,M,SBD,Raw,28.5,24-34,24-39,Open,82.4,83,235.0,252.5,257.5,,257.5,142.5,152.5,-155.0,,152.5,270.0,-290.0,-290.0,,270.0,680.0,7,455.87,455.87,438.66,690.73,Yes,Australia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Matthew Coppenhall,M,SBD,Raw,26.5,24-34,24-39,Open,81.45,83,215.0,230.0,240.0,,240.0,155.0,162.5,165.0,,165.0,240.0,250.0,,,250.0,655.0,8,442.2,442.2,425.74,667.5,Yes,South Africa,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Andrew Jovicevic,M,SBD,Raw,47.5,45-49,40-49,Open,82.4,83,195.0,205.0,-210.0,,205.0,160.0,-170.0,-170.0,,160.0,245.0,255.0,260.0,,260.0,625.0,9,419.0,453.35,403.18,628.0,Yes,Australia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Ryan Miller #3,M,SBD,Raw,28.5,24-34,24-39,Open,82.0,83,185.0,190.0,-195.0,,190.0,150.0,157.5,165.0,,165.0,250.0,255.0,-260.0,,255.0,610.0,10,410.14,410.14,394.75,612.95,Yes,South Africa,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Ryoji Kono,M,SBD,Raw,32.5,24-34,24-39,Open,82.3,83,197.5,207.5,-212.5,,207.5,140.0,150.0,-155.0,,150.0,235.0,245.0,-257.5,,245.0,602.5,11,404.21,404.21,388.97,602.85,Yes,Japan,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Faisal Alzaabi,M,SBD,Raw,35.5,35-39,24-39,Open,81.45,83,140.0,-142.5,-142.5,,140.0,175.0,-182.5,-182.5,,175.0,160.0,-162.5,-162.5,,160.0,475.0,12,320.68,320.68,308.74,460.77,Yes,UAE,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Johan Henriksson,M,SBD,Raw,29.5,24-34,24-39,Open,81.45,83,230.0,242.5,-247.5,,242.5,-152.5,-152.5,-152.5,,,,,,,,,DQ,,,,,Yes,Finland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Krzysztof Wierzbicki,M,SBD,Raw,23.5,24-34,24-39,Open,92.25,93,255.0,275.0,285.0,,285.0,170.0,180.0,190.0,,190.0,350.0,360.0,372.5,,372.5,847.5,1,534.46,534.46,511.7,819.83,Yes,Poland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Mykhaylo Bulanyy,M,SBD,Raw,38.5,35-39,24-39,Open,93.0,93,270.0,287.5,300.0,,300.0,190.0,205.0,-215.0,,205.0,-320.0,330.0,342.5,,342.5,847.5,2,532.39,532.39,509.55,815.69,Yes,Ukraine,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Stephen Manuel,M,SBD,Raw,25.5,24-34,24-39,Open,92.1,93,280.0,290.0,-300.0,,290.0,185.0,192.5,,,192.5,200.0,280.0,302.5,,302.5,785.0,3,495.43,495.43,474.36,753.9,Yes,UK,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
LS McClain,M,SBD,Raw,35.0,35-39,24-39,Open,92.25,93,245.0,257.5,267.5,,267.5,205.0,212.5,-217.5,,212.5,285.0,292.5,-302.5,,292.5,772.5,4,487.16,487.16,466.41,739.78,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Tom Martin #1,M,SBD,Raw,26.0,24-34,24-39,Open,92.8,93,-255.0,255.0,-270.0,,255.0,162.5,170.0,172.5,,172.5,325.0,345.0,-360.0,,345.0,772.5,5,485.77,485.77,464.97,737.01,Yes,England,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Quentin Gilbert,M,SBD,Raw,30.5,24-34,24-39,Open,92.65,93,270.0,282.5,-287.5,,282.5,180.0,192.5,-197.5,,192.5,280.0,292.5,-300.0,,292.5,767.5,6,483.0,483.0,462.35,732.44,Yes,France,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
David Coimbra,M,SBD,Raw,30.5,24-34,24-39,Open,92.2,93,255.0,270.0,280.0,,280.0,170.0,177.5,-180.0,,177.5,285.0,307.5,-330.0,,307.5,765.0,7,482.56,482.56,462.02,732.03,Yes,Brazil,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Andre Blikaas Kim,M,SBD,Raw,23.5,24-34,24-39,Open,92.75,93,232.5,242.5,250.0,,250.0,182.5,187.5,190.0,,190.0,290.0,302.5,307.5,,307.5,747.5,8,470.17,470.17,450.05,710.66,Yes,Norway,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Aron Lee Du Teitsson,M,SBD,Raw,26.5,24-34,24-39,Open,91.25,93,-230.0,230.0,242.5,,242.5,180.0,190.0,195.0,,195.0,270.0,285.0,-295.0,,285.0,722.5,9,458.06,458.06,438.75,691.21,Yes,Iceland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Hayden Pritchard,M,SBD,Raw,25.5,24-34,24-39,Open,90.95,93,260.0,272.5,-277.5,,272.5,150.0,160.0,-162.5,,160.0,280.0,-285.0,,,280.0,712.5,10,452.46,452.46,433.44,681.92,Yes,New Zealand,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Corne Hubinger,M,SBD,Raw,32.0,24-34,24-39,Open,91.85,93,225.0,235.0,-237.5,,235.0,130.0,140.0,-145.0,,140.0,250.0,-265.0,,,250.0,625.0,11,394.97,394.97,378.22,584.0,Yes,South Africa,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Balazs Dr Budai,M,SBD,Raw,34.5,24-34,24-39,Open,90.45,93,-170.0,170.0,-177.5,,170.0,125.0,132.5,-137.5,,132.5,210.0,-222.5,225.0,,225.0,527.5,12,335.9,335.9,321.86,484.65,Yes,Hungary,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Yury Belkin,M,SBD,Raw,23.0,20-23,24-39,Open,103.56,105,300.0,310.0,315.0,,315.0,200.0,210.0,215.0,,215.0,330.0,337.5,-350.0,,337.5,867.5,1,520.94,520.94,497.42,784.16,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Dmitry Lihanov,M,SBD,Raw,34.5,24-34,24-39,Open,103.1,105,295.0,310.0,317.5,,317.5,205.0,215.0,221.0,,221.0,305.0,310.0,315.0,,315.0,853.5,2,513.37,513.37,490.2,772.17,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Alex-Edward Raus,M,SBD,Raw,21.5,20-23,19-23,Open,104.6,105,310.0,320.0,330.0,,330.0,200.0,207.5,212.5,,212.5,295.0,305.0,310.0,,310.0,852.5,3,510.1,515.2,487.08,764.62,Yes,Estonia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Sofiane Belkesir,M,SBD,Raw,29.5,24-34,24-39,Open,104.45,105,-285.0,290.0,300.0,,300.0,195.0,205.0,-207.5,,205.0,315.0,332.5,-347.5,,332.5,837.5,4,501.38,501.38,478.75,750.31,Yes,France,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Andreas Hjelmtveit,M,SBD,Raw,30.0,24-34,24-39,Open,103.6,105,280.0,300.0,307.5,,307.5,170.0,-175.0,,,170.0,320.0,330.0,-343.0,,330.0,807.5,5,484.85,484.85,462.95,723.91,Yes,Norway,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Andy Mahon,M,SBD,Raw,37.5,35-39,24-39,Open,102.5,105,290.0,307.5,315.0,,315.0,155.0,165.0,170.0,,170.0,290.0,-310.0,-310.0,,290.0,775.0,6,467.17,467.17,446.09,695.8,Yes,New Zealand,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Janos Istvan Nemeshazy Jr,M,SBD,Raw,34.5,24-34,24-39,Open,103.1,105,250.0,260.0,270.0,,270.0,160.0,165.0,170.0,,170.0,300.0,315.0,-330.0,,315.0,755.0,7,454.13,454.13,433.62,673.29,Yes,Hungary,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Johannes Suomela,M,SBD,Raw,25.5,24-34,24-39,Open,104.4,105,240.0,252.5,257.5,,257.5,177.5,185.0,-190.0,,185.0,285.0,302.5,-315.0,,302.5,745.0,8,446.08,446.08,425.95,658.28,Yes,Finland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Henry Tosh,M,SBD,Raw,33.5,24-34,24-39,Open,99.75,105,220.0,230.0,240.0,,240.0,175.0,182.5,187.5,,187.5,280.0,290.0,300.0,,300.0,727.5,9,443.19,443.19,423.32,658.79,Yes,England,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Ville Vahtola,M,SBD,Raw,27.5,24-34,24-39,Open,104.15,105,-255.0,255.0,-265.0,,255.0,155.0,170.0,180.0,,180.0,260.0,290.0,-310.0,,290.0,725.0,10,434.48,434.48,414.87,639.26,Yes,Finland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
David Jame,M,SBD,Raw,32.5,24-34,24-39,Open,104.65,105,250.0,262.5,267.5,,267.5,135.0,142.5,-145.0,,142.5,280.0,300.0,305.0,,305.0,715.0,11,427.75,427.75,408.45,627.46,Yes,Australia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Michael Schrems,M,SBD,Raw,29.5,24-34,24-39,Open,104.25,105,235.0,242.5,245.0,,245.0,187.5,195.0,200.0,,200.0,265.0,-282.5,-282.5,,265.0,710.0,12,425.34,425.34,406.14,623.92,Yes,Austria,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Gregor Loosen,M,SBD,Raw,27.0,24-34,24-39,Open,104.25,105,225.0,235.0,-240.0,,235.0,155.0,165.0,-170.0,,165.0,280.0,295.0,-305.0,,295.0,695.0,13,416.36,416.36,397.56,608.95,Yes,Germany,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Mohamed Bouafia,M,SBD,Raw,37.0,35-39,24-39,Open,119.7,120,350.0,370.0,375.0,,375.0,200.0,210.0,-212.5,,210.0,332.5,350.0,360.0,,360.0,945.0,1,543.62,543.62,520.92,794.02,Yes,Algeria,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Michael Tuchscherer,M,SBD,Raw,29.0,24-34,24-39,Open,119.0,120,315.0,335.0,345.0,,345.0,192.5,202.5,210.0,,210.0,335.0,360.0,-390.0,,360.0,915.0,2,527.09,527.09,505.04,768.6,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Aleksey Kudryavtsev,M,SBD,Raw,25.5,24-34,24-39,Open,118.55,120,305.0,317.5,322.5,,322.5,210.0,217.5,220.0,,220.0,300.0,320.0,345.0,,345.0,887.5,3,511.71,511.71,490.27,744.52,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Tony Cliffe,M,SBD,Raw,29.5,24-34,24-39,Open,118.65,120,300.0,315.0,322.5,,322.5,205.0,215.0,220.0,,220.0,310.0,322.5,-347.5,,322.5,865.0,4,498.64,498.64,477.75,723.16,Yes,UK,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Stephen Pritchard,M,SBD,Raw,43.5,40-44,40-49,Open,119.15,120,300.0,-310.0,312.5,,312.5,200.0,207.5,215.0,,215.0,305.0,320.0,-325.0,,320.0,847.5,5,488.06,503.19,467.65,705.17,Yes,Australia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Timo Hokkanen,M,SBD,Raw,34.5,24-34,24-39,Open,116.35,120,265.0,275.0,-285.0,,275.0,225.0,235.0,-242.0,,235.0,260.0,270.0,277.5,,277.5,787.5,6,456.18,456.18,436.84,658.0,Yes,Finland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Pavol Demčák,M,SBD,Raw,36.5,35-39,24-39,Open,119.1,120,255.0,265.0,275.0,,275.0,-215.0,215.0,222.5,,222.5,260.0,270.0,285.0,,285.0,782.5,7,450.67,450.67,431.82,644.75,Yes,Czechia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Dave Edwards,M,SBD,Raw,28.5,24-34,24-39,Open,117.35,120,250.0,-265.0,265.0,,265.0,190.0,200.0,205.0,,205.0,270.0,285.0,292.5,,292.5,762.5,8,440.74,440.74,422.17,631.36,Yes,South Africa,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Damian Ostrowski,M,SBD,Raw,30.5,24-34,24-39,Open,118.6,120,260.0,-272.5,272.5,,272.5,190.0,-202.5,-202.5,,190.0,275.0,290.0,-302.5,,290.0,752.5,9,433.83,433.83,415.66,618.25,Yes,Poland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Alexander Pürzel,M,SBD,Raw,30.5,24-34,24-39,Open,117.0,120,240.0,-247.5,247.5,,247.5,170.0,175.0,-177.5,,175.0,300.0,-317.5,-317.5,,300.0,722.5,10,417.93,417.93,400.29,594.81,Yes,Austria,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Ray Williams #1,M,SBD,Raw,27.0,24-34,24-39,Open,162.4,120+,372.5,397.5,412.5,,412.5,220.0,230.0,235.0,,235.0,-300.0,300.0,325.0,,325.0,972.5,1,531.95,531.95,498.35,701.11,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Oliva Kirisome,M,SBD,Raw,28.5,24-34,24-39,Open,160.85,120+,325.0,345.0,357.5,,357.5,215.0,220.0,-222.5,,220.0,320.0,-337.5,340.0,,340.0,917.5,2,502.59,502.59,471.37,659.75,Yes,Samoa,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Martins Kruze,M,SBD,Raw,25.5,24-34,24-39,Open,152.9,120+,345.0,360.0,370.0,,370.0,205.0,212.5,217.5,,217.5,315.0,-327.5,327.5,,327.5,915.0,3,504.9,504.9,476.67,674.31,Yes,Latvia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Artem Kovalchuk,M,SBD,Raw,31.5,24-34,24-39,Open,137.15,120+,325.0,342.5,-347.5,,342.5,190.0,197.5,202.5,,202.5,320.0,337.5,-342.5,,337.5,882.5,4,494.7,494.7,470.9,684.2,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Matt Baller,M,SBD,Raw,28.0,24-34,24-39,Open,139.6,120+,292.5,312.5,-325.0,,312.5,240.0,252.5,260.5,,260.5,272.5,287.5,297.5,,297.5,870.5,5,486.65,486.65,462.66,667.58,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Martin Borgland Rønning,M,SBD,Raw,29.5,24-34,24-39,Open,163.2,120+,305.0,315.0,-320.0,,315.0,235.0,240.0,245.0,,245.0,300.0,310.0,,,310.0,870.0,6,475.54,475.54,445.23,616.83,Yes,Norway,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
